x,y,vx,vy,xt,yt,vxt,vyt
0.312243, 0.58034, 0, 0, 0.6, 0.6, 5.19994, 0
0.643748, 0.510481, 1.94273, -1.63431e-18, 0.859997, 0.600045, 5.19975, 0.00179686
0.809723, 0.574148, 2.01266, -0.00810986, 1.11998, 0.600225, 5.19943, 0.00538996
0.976708, 0.424871, 3.18687, 0.397586, 1.37996, 0.600629, 5.19898, 0.0107781
1.23119, 0.50882, 3.34757, 0.370011, 1.6399, 0.601347, 5.19839, 0.0179597
1.50203, 0.513036, 4.01651, 0.347841, 1.89982, 0.60247, 5.19766, 0.0269323
1.78692, 0.560785, 4.16514, 0.259964, 2.1597, 0.604086, 5.19678, 0.0376932
2.04346, 0.585536, 4.39083, 0.337499, 2.41954, 0.606284, 5.19573, 0.0502389
2.32948, 0.614033, 4.49925, 0.270541, 2.67932, 0.609155, 5.1945, 0.0645654
2.61513, 0.618135, 4.67951, 0.211598, 2.93904, 0.612786, 5.19309, 0.080668
2.87579, 0.629536, 4.71902, 0.189275, 3.19869, 0.617267, 5.19147, 0.0985415
3.17199, 0.577444, 4.84554, -0.0534215, 3.45825, 0.622685, 5.18963, 0.11818
3.49297, 0.528253, 4.9388, -0.281841, 3.71772, 0.62913, 5.18754, 0.139576
3.77989, 0.555062, 5.04481, -0.151523, 3.97708, 0.636689, 5.18519, 0.162724
4.07475, 0.550637, 5.09918, -0.163153, 4.23632, 0.645449, 5.18256, 0.187614
4.3413, 0.570478, 5.1224, -0.0730211, 4.49542, 0.655498, 5.17962, 0.214238
4.55665, 0.63836, 5.07239, 0.17133, 4.75437, 0.666921, 5.17634, 0.242587
4.81647, 0.640139, 5.06464, 0.165229, 5.01315, 0.679804, 5.1727, 0.272649
5.1361, 0.644602, 5.1426, 0.161684, 5.27175, 0.694234, 5.16867, 0.304413
5.39895, 0.656405, 5.16864, 0.198828, 5.53013, 0.710295, 5.16422, 0.337868
5.70971, 0.67383, 5.22704, 0.235891, 5.78828, 0.728072, 5.15932, 0.372999
5.95931, 0.624641, 5.19654, 0.0700045, 6.04618, 0.747647, 5.15393, 0.409793
6.23334, 0.714202, 5.20331, 0.336274, 6.30379, 0.769103, 5.14803, 0.448233
6.48903, 0.746958, 5.18088, 0.409211, 6.5611, 0.792523, 5.14157, 0.488305
6.75306, 0.752194, 5.18765, 0.394782, 6.81808, 0.817988, 5.13452, 0.52999
7.00325, 0.745378, 5.14486, 0.343095, 7.07469, 0.845578, 5.12685, 0.573269
7.24036, 0.822839, 5.10913, 0.535953, 7.3309, 0.875373, 5.11851, 0.618123
7.52956, 0.840255, 5.16662, 0.540735, 7.58668, 0.907449, 5.10946, 0.664531
7.79215, 0.821956, 5.17809, 0.446313, 7.84199, 0.941886, 5.09966, 0.712469
8.04687, 0.845459, 5.14255, 0.469893, 8.0968, 0.978759, 5.08907, 0.761915
8.29637, 0.86127, 5.13397, 0.473214, 8.35106, 1.01814, 5.07766, 0.812843
8.5611, 0.951429, 5.15442, 0.67331, 8.60472, 1.06011, 5.06537, 0.865226
8.80723, 1.00725, 5.13147, 0.764804, 8.85775, 1.10473, 5.05216, 0.919037
9.09391, 1.04988, 5.16164, 0.808585, 9.1101, 1.15208, 5.03798, 0.974245
9.33929, 1.07972, 5.14552, 0.818819, 9.36172, 1.20223, 5.0228, 1.03082
9.61542, 1.15569, 5.15732, 0.940454, 9.61255, 1.25524, 5.00656, 1.08873
9.89062, 1.27826, 5.14097, 1.16929, 9.86254, 1.31118, 4.98922, 1.14794
10.1419, 1.37448, 5.07591, 1.3187, 10.1117, 1.37011, 4.97074, 1.20841
10.3743, 1.45176, 5.03189, 1.40518, 10.3598, 1.4321, 4.95106, 1.2701
10.6105, 1.5459, 4.94291, 1.53139, 10.6069, 1.49721, 4.93014, 1.33298
10.8452, 1.57237, 4.93406, 1.47557, 10.853, 1.56549, 4.90794, 1.39701
11.1089, 1.62744, 4.94964, 1.4821, 11.0979, 1.637, 4.8844, 1.46213
11.3911, 1.66541, 4.99013, 1.43965, 11.3416, 1.71179, 4.85948, 1.52832
11.6252, 1.72883, 4.94403, 1.47197, 11.584, 1.78992, 4.83313, 1.59551
11.8609, 1.78831, 4.92284, 1.48704, 11.8251, 1.87144, 4.80531, 1.66366
12.1134, 1.87965, 4.92435, 1.56761, 12.0647, 1.95639, 4.77598, 1.73273
12.361, 1.90273, 4.93415, 1.48061, 12.3029, 2.04482, 4.74508, 1.80265
12.6149, 1.96369, 4.95251, 1.48191, 12.5394, 2.13677, 4.71257, 1.87338
12.8179, 2.09562, 4.86579, 1.66619, 12.7743, 2.23227, 4.67842, 1.94485
13.0793, 2.20029, 4.89136, 1.74852, 13.0075, 2.33137, 4.64258, 2.01701
13.2841, 2.33904, 4.80168, 1.92329, 13.2388, 2.43409, 4.605, 2.08981
13.4687, 2.49167, 4.64024, 2.13019, 13.4682, 2.54047, 4.56565, 2.16317
13.718, 2.60115, 4.63191, 2.19422, 13.6955, 2.65053, 4.52448, 2.23703
